id_fixture,date_match,id_team_home,id_team_away,gol_home_stat,gol_away_stat,gol_home_match,gol_away_match
1156246,2024-01-07T11:30:00+00:00,415,9692,1.0,,,
592150,2020-09-14T17:00:00+00:00,62,39,0.0,2.0,,
590762,2020-08-26T14:30:00+00:00,201,567,1.0,,,
1208501,2024-08-16T17:00:00+00:00,538,542,2.0,1.0,,
15009,2017-08-13T14:45:00+00:00,202,210,3.0,3.0,,
898023,2022-07-21T18:30:00+00:00,201,201,1.0,1.0,,
15010,2017-08-13T12:30:00+00:00,209,415,2.0,1.0,,
15011,2017-08-13T12:30:00+00:00,195,196,1.0,2.0,,
15012,2017-08-13T10:30:00+00:00,193,414,4.0,2.0,,
15013,2017-08-12T18:45:00+00:00,206,194,2.0,1.0,,
15014,2017-08-12T18:45:00+00:00,200,203,4.0,1.0,,
15015,2017-08-12T16:30:00+00:00,197,201,3.0,2.0,,
15016,2017-08-12T16:30:00+00:00,204,426,3.0,0.0,,
1213444,2024-08-10T18:00:00+00:00,419,201,0.0,1.0,,
1042624,2023-07-15T16:00:00+00:00,197,1394,2.0,,,
710557,2021-08-14T14:00:00+00:00,44,51,1.0,2.0,,
592148,2020-09-12T19:00:00+00:00,48,34,0.0,2.0,,
1042696,2023-07-29T14:00:00+00:00,414,624,2.0,,,
1034597,2023-07-08T10:00:00+00:00,205,422,1.0,,,
748123,2021-08-03T18:00:00+00:00,197,397,3.0,,,
707180,2021-08-14T14:30:00+00:00,417,201,1.0,0.0,,
707182,2021-08-14T18:00:00+00:00,205,415,2.0,1.0,,
1439082,2025-10-25T15:30:00+00:00,6378,1689,,,,
707185,2021-08-15T12:30:00+00:00,193,200,0.0,1.0,,
707186,2021-08-15T12:30:00+00:00,207,426,4.0,0.0,,
199339,2015-08-08T17:45:00+00:00,414,206,3.0,1.0,,
199340,2015-08-08T18:45:00+00:00,209,207,3.0,2.0,,
199342,2015-08-09T14:45:00+00:00,195,200,1.0,1.0,,
199343,2015-08-11T16:30:00+00:00,198,197,2.0,2.0,,
199344,2015-08-11T18:45:00+00:00,210,199,3.0,1.0,,
199345,2015-08-12T16:30:00+00:00,202,415,1.0,1.0,,
199346,2015-08-12T17:45:00+00:00,193,420,2.0,2.0,,
199347,2015-08-12T18:45:00+00:00,413,196,1.0,0.0,,
598907,2020-09-13T14:00:00+00:00,1001,1004,1.0,0.0,,
355127,2015-07-29T19:05:00+00:00,194,781,2.0,,,
1213753,2024-08-18T13:00:00+00:00,108,84,2.0,1.0,,
1439697,2026-03-30T18:30:00+00:00,876,507,,,,
608487,2020-09-20T16:00:00+00:00,488,490,1.0,1.0,,
877949,2022-08-15T17:30:00+00:00,546,530,0.0,3.0,,
3128,2018-08-10T18:00:00+00:00,193,210,2.0,3.0,,
3130,2018-08-11T16:30:00+00:00,195,204,0.0,1.0,,
3131,2018-08-11T18:45:00+00:00,196,205,1.0,1.0,,
3132,2018-08-11T18:45:00+00:00,197,207,4.0,0.0,,
3133,2018-08-12T10:15:00+00:00,198,208,1.0,2.0,,
3134,2018-08-12T12:30:00+00:00,199,209,2.0,0.0,,
627987,2020-09-27T19:00:00+00:00,880,801,2.0,2.0,,
627984,2020-09-26T12:00:00+00:00,867,862,0.0,0.0,,
598905,2020-09-13T14:00:00+00:00,1010,1009,1.0,2.0,,
1208028,2024-08-18T13:00:00+00:00,55,52,2.0,1.0,,
1439464,2025-10-25T12:30:00+00:00,882,9534,,,,
731586,2021-08-21T18:45:00+00:00,511,487,1.0,3.0,,
605071,2020-09-13T19:00:00+00:00,532,539,4.0,2.0,,
1213755,2024-08-18T18:45:00+00:00,94,80,3.0,0.0,,
867953,2022-08-06T16:30:00+00:00,45,49,0.0,1.0,,
605068,2020-09-12T19:00:00+00:00,724,727,0.0,2.0,,
608481,2020-09-19T16:00:00+00:00,502,503,1.0,0.0,,
1036309,2023-07-15T11:30:00+00:00,417,413,0.0,1.0,,
727920,2021-08-15T18:45:00+00:00,3563,611,0.0,1.0,,
1036348,2023-07-22T12:00:00+00:00,426,600,4.0,,,
962547,2022-10-19T16:45:00+00:00,202,202,0.0,0.0,,
1439460,2025-10-25T15:30:00+00:00,17825,866,,,,
707487,2021-08-06T18:00:00+00:00,422,416,2.0,,,
707488,2021-08-06T18:00:00+00:00,196,423,0.0,,,
707490,2021-08-07T14:30:00+00:00,199,414,0.0,3.0,,
707491,2021-08-08T10:15:00+00:00,198,425,2.0,,,
707492,2021-08-08T12:30:00+00:00,203,204,2.0,,,
605069,2020-09-12T16:30:00+00:00,715,531,2.0,0.0,,
1208500,2024-08-18T17:00:00+00:00,548,728,1.0,2.0,,
1036657,2023-07-08T11:00:00+00:00,209,193,3.0,1.0,,
1036765,2023-07-08T14:00:00+00:00,410,619,2.0,,,
1380867,2025-08-08T18:00:00+00:00,205,410,2.0,2.0,,
864336,2022-07-31T13:31:00+00:00,163,12822,9.0,,,
864339,2022-07-31T13:31:00+00:00,170,14629,4.0,,,
864342,2022-07-31T16:01:00+00:00,164,190,3.0,,,
864343,2022-08-01T16:01:00+00:00,162,1320,2.0,,,
864344,2022-07-31T11:01:00+00:00,174,1630,5.0,,,
864345,2022-07-30T16:01:00+00:00,161,1325,1.0,,,
864348,2022-08-01T18:46:00+00:00,169,179,4.0,,,
1036865,2023-07-28T14:30:00+00:00,199,202,0.0,,,
946857,2022-09-07T16:45:00+00:00,194,194,4.0,4.0,,
884341,2022-08-07T16:15:00+00:00,3589,996,2.0,4.0,,
78628,2018-07-25T18:30:00+00:00,194,637,2.0,,,
1439844,2025-10-25T12:30:00+00:00,1712,501,,,,
1209250,2024-08-01T17:00:00+00:00,410,319,1.0,,,
78794,2018-08-02T18:45:00+00:00,201,664,2.0,,,
78810,2018-08-02T18:00:00+00:00,200,570,3.0,,,
1414142,2025-08-06T19:00:00+00:00,209,611,2.0,,,
1031748,2023-07-20T17:00:00+00:00,210,1124,2.0,,,
1052254,2023-08-19T16:30:00+00:00,511,504,0.0,1.0,,
153000,2016-07-26T18:45:00+00:00,194,619,1.0,,,
1209836,2024-08-09T18:00:00+00:00,421,422,0.0,,,
1209839,2024-08-09T18:00:00+00:00,420,412,1.0,,,
1209842,2024-08-10T14:30:00+00:00,198,204,1.0,,,
1209843,2024-08-11T14:45:00+00:00,199,416,4.0,,,
1209841,2024-08-09T18:00:00+00:00,427,200,3.0,,,
57506,2018-08-18T13:30:00+00:00,162,1663,6.0,,,
57508,2018-08-17T18:45:00+00:00,174,1635,2.0,,,
867946,2022-08-05T19:00:00+00:00,52,42,0.0,2.0,,
349991,2017-07-13T17:30:00+00:00,207,659,0.0,,,
1333094,2025-01-05T13:00:00+00:00,194,172,2.0,,,
1365863,2025-03-19T12:00:00+00:00,426,198,2.0,,,
1365867,2025-03-19T17:00:00+00:00,202,174,0.0,,,
884340,2022-08-07T18:45:00+00:00,1005,645,0.0,1.0,,
1043291,2023-07-08T12:30:00+00:00,201,550,3.0,,,
924449,2022-08-04T18:00:00+00:00,415,2656,3.0,,,
350420,2016-07-28T18:45:00+00:00,201,950,1.0,,,
718359,2021-08-08T13:00:00+00:00,95,77,0.0,2.0,,
1213748,2024-08-18T15:00:00+00:00,82,95,1.0,1.0,,
627982,2020-09-27T13:00:00+00:00,520,510,0.0,2.0,,
877946,2022-08-14T15:30:00+00:00,724,548,0.0,1.0,,
1212910,2024-08-19T17:00:00+00:00,720,540,1.0,0.0,,
627988,2020-09-26T12:00:00+00:00,514,1692,1.0,1.0,,
1439860,2025-11-08T16:30:00+00:00,10137,9542,,,,
727923,2021-08-14T18:45:00+00:00,3575,1004,1.0,1.0,,
23433,2016-08-07T14:45:00+00:00,414,206,1.0,1.0,,
23436,2016-08-07T10:30:00+00:00,202,209,0.0,5.0,,
23437,2016-08-06T18:45:00+00:00,195,200,1.0,4.0,,
23438,2016-08-06T17:45:00+00:00,415,196,1.0,2.0,,
23439,2016-08-06T17:45:00+00:00,207,197,1.0,2.0,,
23440,2016-08-06T16:30:00+00:00,198,410,3.0,0.0,,
23441,2016-08-05T18:00:00+00:00,413,193,1.0,1.0,,
1203256,2024-07-06T12:30:00+00:00,409,209,0.0,4.0,,
867564,2022-08-05T18:00:00+00:00,422,421,3.0,,,
867567,2022-08-05T18:00:00+00:00,203,203,1.0,1.0,,
867570,2022-08-05T18:00:00+00:00,195,195,1.0,1.0,,
867573,2022-08-08T18:00:00+00:00,412,418,1.0,,,
867574,2022-08-12T18:00:00+00:00,419,423,3.0,,,
867575,2022-08-12T18:00:00+00:00,204,204,1.0,1.0,,
933169,2022-08-16T19:00:00+00:00,197,197,2.0,2.0,,
877944,2022-08-15T19:30:00+00:00,543,797,3.0,0.0,,
1051781,2023-07-08T11:00:00+00:00,194,421,2.0,,,
1410012,2025-07-24T16:00:00+00:00,201,1163,3.0,,,
57434,2017-08-13T16:30:00+00:00,172,1320,2.0,,,
57435,2017-08-13T16:30:00+00:00,170,179,0.0,,,
57437,2017-08-13T13:30:00+00:00,166,1637,6.0,,,
57438,2017-08-13T13:30:00+00:00,161,1631,1.0,,,
57442,2017-08-13T13:30:00+00:00,173,1640,5.0,,,
1208025,2024-08-17T14:00:00+00:00,34,41,1.0,0.0,,
877942,2022-08-15T15:30:00+00:00,531,798,0.0,0.0,,
592142,2020-09-12T14:00:00+00:00,52,41,1.0,0.0,,
605073,2020-09-13T16:30:00+00:00,533,726,1.0,1.0,,
867948,2022-08-06T14:00:00+00:00,35,66,2.0,0.0,,
57445,2017-08-13T13:30:00+00:00,175,1324,1.0,,,
598914,2020-09-13T17:00:00+00:00,1005,997,2.0,0.0,,
1074609,2023-08-12T16:15:00+00:00,607,3578,1.0,1.0,,
57446,2017-08-12T18:45:00+00:00,162,784,3.0,,,
57449,2017-08-12T16:30:00+00:00,167,1329,1.0,,,
57453,2017-08-12T13:30:00+00:00,192,1644,5.0,,,
57454,2017-08-12T13:30:00+00:00,164,1645,3.0,,,
57457,2017-08-12T13:30:00+00:00,169,1647,3.0,,,
57459,2017-08-11T18:45:00+00:00,168,785,0.0,,,
57460,2017-08-11T18:45:00+00:00,163,1621,2.0,,,
57478,2018-08-20T18:45:00+00:00,165,178,1.0,,,
57479,2018-08-20T16:30:00+00:00,159,744,2.0,,,
57480,2018-08-20T16:30:00+00:00,160,1320,1.0,,,
57482,2018-08-19T16:30:00+00:00,163,1653,11.0,,,
57489,2018-08-19T13:30:00+00:00,166,785,6.0,,,
57491,2018-08-19T13:30:00+00:00,170,1656,2.0,,,
57492,2018-08-19T13:30:00+00:00,158,1657,5.0,,,
57494,2018-08-18T18:45:00+00:00,172,1321,0.0,,,
57495,2018-08-18T16:30:00+00:00,164,190,3.0,,,
57498,2018-08-18T13:30:00+00:00,168,1659,1.0,,,
57499,2018-08-18T13:30:00+00:00,167,745,6.0,,,
57502,2018-08-18T13:30:00+00:00,161,1660,1.0,,,
57503,2018-08-18T13:30:00+00:00,171,1661,2.0,,,
627989,2020-09-26T14:00:00+00:00,517,1584,1.0,0.0,,
718356,2021-08-08T13:00:00+00:00,84,93,0.0,0.0,,
710559,2021-08-14T14:00:00+00:00,45,41,3.0,1.0,,
718351,2021-08-08T13:00:00+00:00,78,99,0.0,2.0,,
1237849,2024-08-10T16:15:00+00:00,1004,607,2.0,3.0,,
1237851,2024-08-10T18:45:00+00:00,1005,994,0.0,0.0,,
1237857,2024-08-12T18:00:00+00:00,3583,3573,0.0,1.0,,
1237850,2024-08-11T18:45:00+00:00,996,3588,1.0,1.0,,
710563,2021-08-14T16:30:00+00:00,71,40,0.0,3.0,,
720741,2021-08-15T15:30:00+00:00,538,530,1.0,2.0,,
571477,2020-08-23T11:00:00+00:00,91,93,2.0,2.0,,
710562,2021-08-15T13:00:00+00:00,34,48,2.0,4.0,,
608489,2020-09-19T18:45:00+00:00,504,497,3.0,0.0,,
